title,image,productlink,category,colour,gender,price
Bigbanana Plus Size Men's Regular Fit Solid Henley Tshirt,https://m.media-amazon.com/images/I/41+JhIKQL9L.jpg,https://www.amazon.in/Bigbanana-Regular-Solid-Henley-Tshirt/dp/B0CJVDYDF4/ref=sr_1_56?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-56,tshirts,blue,men,679
HOODMASTAR Regular Fit Polo Half Sleeve T-Shirt for Men,https://m.media-amazon.com/images/I/51gCBHntCSL.jpg,https://www.amazon.in/HOODMASTAR-Regular-Polo-Sleeve-T-Shirt/dp/B0CVQMNMXB/ref=sr_1_55?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-55,tshirts,blue,men,241
Burundi Blu Solid Printed Men's Round Neck 100% Cotton Half Sleeve T-Shirts Skating,https://m.media-amazon.com/images/I/41mBx9UH5DL.jpg,https://www.amazon.in/Burundi-Blu-Printed-T-Shirts-Skating/dp/B0CVH9NSTW/ref=sr_1_54?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-54,tshirts,blue,men,439
fanideaz Men? Cotton Full Sleeve Unique Neck Design T-Shirt,https://m.media-amazon.com/images/I/41B20yi1ILL.jpg,https://www.amazon.in/fanideaz-Eye-catching-Sleeve-T-Shirt_Royal-Blue_2XL/dp/B0CJC8FF7P/ref=sr_1_53?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-53,tshirts,blue,men,519
ADRO Graphic Design Mens Printed T-Shirts,https://m.media-amazon.com/images/I/41O+Rphpm4L.jpg,https://www.amazon.in/ADRO-Graphic-Design-Printed-T-Shirts/dp/B09TFVKC83/ref=sr_1_52?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-52,tshirts,blue,men,349
ADRO Men's God Printed Cotton T-Shirt,https://m.media-amazon.com/images/I/31v+0K4oroL.jpg,https://www.amazon.in/ADRO-Printed-Cotton-T-Shirt-Royal/dp/B09NMG55K7/ref=sr_1_51?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-51,tshirts,blue,men,349
GRITSTONES Men OversizedRound Neck Stripe Drop Shoulder Cotton T-Shirt,https://m.media-amazon.com/images/I/41K1Dru9ySL.jpg,https://www.amazon.in/GRITSTONES-Oversized-Shoulder-T-Shirt-GSFSTSHTSTP2993RBLUWHT_S/dp/B0BCQ3SR3Z/ref=sr_1_50?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-50,tshirts,blue,men,329
Lyned Mens Cotton Half Sleeve Striped Polo T Shirt with Collar,https://m.media-amazon.com/images/I/31gdHCxqBCS.jpg,https://www.amazon.in/Lyned-Cotton-Sleeve-Striped-Collar_Royal/dp/B0CBN2FLMC/ref=sr_1_49?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-49,tshirts,blue,men,797
Veirdo? Pure Cotton Half Sleeve Round Neck Oversized Loose Baggy Fit Stylish Back Graphic Print Royal Blue T-Shirt for Men,https://m.media-amazon.com/images/I/41PvepwgdrL.jpg,https://www.amazon.in/Veirdo%C2%AE-Cotton-Oversize-T-Shirt-OS_100_TVL2MTURSLF_RB_XXL/dp/B0CKC1WLXB/ref=sr_1_48?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-48,tshirts,blue,men,299
Van Heusen Men's Regular Fit Polo Shirt,https://m.media-amazon.com/images/I/319qK9K-nYL.jpg,https://www.amazon.in/Van-Heusen-Regular-VSKP517S011404_Digital-Blue_Large/dp/B076CJMH93/ref=sr_1_47?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-47,tshirts,blue,men,679
